लोग: लोग 
कंटेंट्स: कंटेंट्स
धर्मविरोधी: धर्मविरोधी 
कोहरे: कोहरा 
ट्रेनों: ट्रेन 
'रेल: 'रेल
यात्री': यात्री' 
पटना: पटना 
ट्रेनें: ट्रेन 
पहुंचीं: पहुंच 
वक्तव्य: वक्तव्य
"शुरू: "शुर 
'फॉग: 'फॉग
अलर्ट': अलर्ट'
रेलमार्ग: रेलमार्ग
कोहरा: कोहरा 
छाने: छाना 
सघनता: सघनता 
स्वजनों: स्वजन 
रेलों: रेल 
राठी: राठी 
विलंब: विलंब
सुखद: सुखद
लोकलुभावन: लोकलुभावन
आकड़ा: आकड़ा 
डिजिटलीकरण: डिजिटलीकरण
चलाना: चलाना 
मंडल: मंडल
एसोचैम: एसोचैम
लेखा: लेखा 
डेलोइट: डेलोइट
"भारत: "भारत
साक्षरता: साक्षरता 
वाजिब: वाजिब
'स्ट्रैटजिक: 'स्ट्रैटजिक
मेजर्स: मेजर्स
कॉम्बैट: कॉम्बैट
साइबरक्राइम': साइबरक्राइम'
शीर्षक: शीर्षक
"सरकार: "सरकार
अवसंरचना: अवसंरचना 
सुदूरवर्ती: सुदूरवर्ती 
सत्तारूढ़: सत्तारूढ़
पुरजोर: पुरजोर
वकालत: वकालत
"डिजिटल: "डिजिटल
कॉलेजों: कॉलेज 
विश्वविद्यालयों: विश्वविद्यालय 
कार्यक्रमों: कार्यक्रमों 
"अधिकतर: "अधिकतर
सूक्ष्म: सूक्ष्म
लघु: लघ 
दर्जे: दर्जा 
एमएसएमई: एमएसएमई
विक्रेता: विक्रेता 
‘आधार: ‘आधार
पे’: पे’
फरोख्त: फरोख्त
सुदूरतम: सुदूरतम
डिजिटली: डिजिटली 
दुकानदार: दुकानदार
[caption: [caption
id="attachment_: id="attachment_
align="alignnone": align="alignnone"
width=": width="
"]: "]
Photo: Photo
IDFC: IDFC
Page[/caption]: Page[/caption]
अुनसार: अुनसार
‘आईडीएफसी: ‘आईडीएफसी 
राशन: राशन
चंद्रबाबू: चंद्रबाब 
नायडू: नायड 
हेल्पडेस्क: हेल्पडेस्क
प्रयोक्ताओं: प्रयोक् प्रयोक्त 
समझाएगी: समझाएगी 
डाउनटाइम: डाउनटाइम
सुधांशु: सुधांश 
भुगतानों: भुगतान 
एक्सेसिबल: एक्सेसिबल
दिलाने: दिलाना 
‘ओला: ‘ओला 
मनी’: मनी’
बीपीसीएल: बीपीसीएल
पम्पों: पम्प 
एलपीजी: एलपीजी 
वितरकों: वितरक 
पल्लव: पल्लव
‘डिजिटल: ‘डिजिटल
अवधारणा: अवधारणा 
पम्प: पम्प
रसोई: रसोई
वितरक: वितरक
आवश्यकताओं: आवश्यक आवश्यकत 
वेरीफोन: वेरीफोन
सत्यापन: सत्यापन
उपयोगिताओं: उपयोगि उपयोगित 
इसरो: इसर 
जुली: जुली 
मोर्चे: मोर्चा 
कामयाबियां: कामयाबी 
मायूसी: मायूसी 
नाविक: नाविक
प्रक्षेपण: प्रक्षेपण
यान: यान
आरएलवी: आरएलवी 
स्क्रैमजेट: स्क्रैमजेट
उपग्रहों: उपग्रह 
स्वदेश: स्वदेश 
रॉकेट: रॉकेट
जीएसएटी: जीएसएटी 
फ्रांसीसी: फ्रांसीसी 
एरियानेस्पेस: एरियानेस्पेस
प्रक्षेपित: प्रक्षेपित
शिक्षण: शिक्षण
वाणिज्यिक: वाणिज्यिक
एंट्रिक्स: एंट्रिक्स
भू: भ 
समकालिक: समकालिक
जीएसएलवी: जीएसएलवी 
श्रृंखला: श्रृंखला 
वहन: वहन
'जीएसएलवी: 'जीएसएलवी 
स्वनिर्मित: स्वनिर्मित
पोलर: पोलर
विहकल: विहकल
पीएसएलवी: पीएसएलवी 
बर्न: बर्न
सेटेलाइटों: सेटेलाइट 
अभिकल्पना: अभिकल्पना 
अनुबंध: अनुबंध 
कामयाबियों: कामयाबी 
घटीं: घट 
देवास: देवास
रद्द: रद्द
न्यायाधिकरण: न्यायाधिकरण
हार: हार
टीमइंडस: टीमइंडस
चांद: चांद
साराभाई: साराभ 
वीएसएससी: वीएसएससी 
शिवान: शिवान
'स्क्रैमजेट: 'स्क्रैमजेट
ऑक्सिजन: ऑक्सिजन
खींचकर: खींच 
परिणामस्वरूप: परिणामस्वरूप
काटरेसैट: काटरेसैट
बेला: बेला 
प्लैनेट: प्लैनेट
एकसाथ: एकसाथ
प्रोपल्सन: प्रोपल्सन
एल: एल
सिंथेटिक: सिंथेटिक 
एपर्चर: एपर्चर
एसएआर: एसएआर
'नासा: 'नासा 
सैटेलाइट': सैटेलाइट'
निसार: निसार
चेयरमैन/प्रबंध: चेयरमैन/प्रबंध
अपन: अपन
शॉपक्लूस: शॉपक्लूस
ग्राफ़िक्स: ग्राफ़िक्स
बेटरी: बेटरी 
निवासियों: निवासियों 
जीवनशैली: जीवनशैली 
दोहरे: दोहरा 
बिशादा: बिशादा 
सलेमपु: सलेमप 
गुज्जर: गुज्जर
नीमका: नीमका 
उस्मानपुर: उस्मानपुर
हल्दोनी: हल्दोनी 
मोरे: मोरा 
फलैदा: फलैदा 
बंगार: बंगार
हबीबपुर: हबीबपुर
कुलेसरा: कुलेसरा 
रबुपुरा: रबुपुरा 
खेरी: खेरी 
सदरपुर: सदरपुर
बरौला: बरौला 
तुगलपुर: तुगलपुर
छिजारसी: छिजारसी 
दोस्तपुर: दोस्तपुर
मंगरौली: मंगरौली 
चिरौली: चिरौली 
युकुतपुर: युकुतपुर
होशियारपुर: होशियारपुर
भंगेल: भंगेल
बेगमपुर: बेगमपुर
सरफाबाद: सरफाबाद
गेझा: गेझा 
छपरोला: छपरोला 
रोजा: रोजा 
जलजलपुर: जलजलपुर
चओदा: चओदा 
रघुनाथपुर: रघुनाथपुर
कैशलस: कैशलस
फायदों: फायद 
संपूर्ण: संपूर्ण
वर्कशॉप्स: वर्कशॉप्स
व्यापारिक: व्यापारिक
जिलों: जिल 
प्रयोक्ता: प्रयोक्ता 
अनुपयुक्त: अनुपयुक्त
निअरबाई: निअरब 
निकटतक: निकटतक
टोलफ्री: टोलफ्री 
जुड़कर: जुड़ 
बिसाहड़ा: बिसाहड़ा 
सलेमपुर: सलेमपुर
हल्दौनी: हल्दौनी 
मोड़: मोड़
रबूपुरा: रबूपुरा 
खेड़ी: खेड़ी 
याकुतपुर: याकुतपुर
छपरौला: छपरौला 
जलालपुर: जलालपुर
चौड़ा: चौड़ा 
जीरो: जीर 
निकटतम: निकटतम
शौचालयों: शौचालय 
आवास: आवास 
वेंकैया: वेंकैया 
‘‘दिल्ली: ‘‘दिल्ली 
गाजियाबाद: गाजियाबाद
गुरग्राम: गुरग्राम
फरीदाबाद: फरीदाबाद
इंदौर: इंदौर
समाहित: समाहित
विजिटर्स: विजिटर्स
नजदीकी: नजदीकी 
खोजेंगे: खोजेंगा 
राजमार्ग: राजमार्ग
चुनौतीपूर्ण: चुनौतीपूर्ण
रेस्टोरेंट्स: रेस्टोरेंट्स
स्वच्छ: स्वच्छ
सिलसिला: सिलसिला 
सीटीओ: सीटीओ
एडम: एडम 
मेसिंजर: मेसिंजर
जोश: जोश
मैकफारलैंड: मैकफारलैंड
मनोनीत: मनोनीत
"पांच: "पांच
विश्राम: विश्राम
करूंगा: करूंगा 
आभारी: आभारी 
प्रभारी: प्रभारी 
बेन: बेन
डोर्सी: डोर्सी 
फेरबदल: फेरबदल
पुनर्जीवित: पुनर्जीवित
निवेशकों: निवेशक 
प्रबंधकों: प्रबंधक 
संपादकीय: संपादकीय
केरेन: केरेन
विकरे: विकरा 
शरिक: शरिक
रिजवी: रिजवी 
गैरी: गैरी 
ब्रिग्स: ब्रिग्स
समुदायों: समुदाय 
समारोहों: समारोह 
आमंत्रण: आमंत्रण
इरादे: इरादा 
सांस्कृतिक: सांस्कृतिक
"उपयोगकर्ताओं: "उपयोगकर्त "उपयोगकर् 
हैपी: हैपी 
हॉलीडेज: हॉलीडेज
शुभकानाओं: शुभका शुभकान 
छुट्टी: छुट्टी 
कॉस्मेटिक: कॉस्मेटिक
करारे: करारा 
'कैश@होम': 'कैश@होम'
'स्नैपडील: 'स्नैपडील
नगद: नगद
बाध्य: बाध्य
कूरियर: कूरियर
गुड़गांव: गुड़गांव
जुगत: जुगत
ऐट: ऐट
Cash@Home: Cash@Home
मंगाने: मंगाना 
हमसफर: हमसफर
गोकी: गोकी 
फिटनस: फिटनस
कैलरीज: कैलरीज
स्लीप: स्लीप 
वीवोफिट: वीवोफिट
आंकड़ें: आंकड़ 
अलर्ट्स: अलर्ट्स
ऐक्टिव: ऐक्टिव
वीवोस्मार्ट: वीवोस्मार्ट
पहनना: पहनना 
ब्लेज: ब्लेज
ऐक्टिविटीज: ऐक्टिविटीज
वर्चुएल: वर्चुएल
रूबरू: रूबर 
करवाया: करवाया 
निर्माताओं: निर्माताओं 
ऊंचाइयों: ऊंचाईं 
महत्वाकांक्षी: महत्वाकांक्षी 
दुर्घटनाओं: दुर्घट दुर्घटन 
ड्राइवरलेस: ड्राइवरलेस
रिंगिंग: रिंगिंग
फ्रीडम: फ्रीडम
सीधी: सीधी 
लगीं: लग 
दुर्घटनाएं: दुर्घट दुर्घटन 
अंतत: अंतत
घोषणाएं: घोषण 
धूमिल: धूमिल
फर्जीवाड़ा: फर्जीवाड़ा 
दिया': दिया' 
सीएमआर: सीएमआर
प्रधान: प्रधान
फैजल: फैजल
कावूसा: कावूसा 
"कोई: "कोई
फर्जीवाड़े: फर्जीवाड़ा 
बेल्स: बेल्स
अनुसंधानकर्ता: अनुसंधानकर्ता 
पर्व: पर्व
उम्मीदें: उम्मीद 
जगाईं: जग 
चालकरहित: चालकरहित
टेस्ला: टेस्ला 
वोल्वो: वोल्व 
लाईको: लाईक 
चूकीं: चूक 
महात्वाकांक्षी: महात्वाकांक्षी 
ट्रैक्टर: ट्रैक्टर
भिड़ी: भिड़ी 
जोशुआ: जोशुआ
आकाश: आकाश
भीषण: भीषण
मिशिगन: मिशिगन
विश्वविद्यालय: विश्वविद्यालय
सवारी: सवारी 
पहियों: पही 
फोर्ट: फोर्ट
कोलिंस: कोलिंस
कोलोरेडो: कोलोरेड 
कोलोरैडो: कोलोरैड 
स्प्रिंग्स: स्प्रिंग्स
बडवाइजर: बडवाइजर
बीयर: बीयर
जगाया: जगाया 
एमएमए: एमएमए
कंतार: कंतार
आईएमआरबी: आईएमआरबी 
"सोशल: "सोशल
यूट्यब: यूट्यब
समकक्षों: समकक्ष 
शिवकुमार: शिवकुमार
"लोगों: "लोग 
शक्तियों: शक्ती 
'माइप्लान: 'माइप्लान
इंफिनिटी': इंफिनिटी'
सिरीज: सिरीज
इंफिनिटी: इंफिनिटी 
किराना: किराना 
मल्टीप्लेक्स: मल्टीप्लेक्स
पैसो: पैस 
पड़ते: पड़ता 
पैटर्नलॉक: पैटर्नलॉक
पेटीम: पेटीम
पासबुक: पासबुक
करिए: कर 
'ऐड: 'ऐड
फीचर': फीचर'
क्रिसमस: क्रिसमस
'वेरी: 'वेरी 
क्रिसमस': क्रिसमस'
शियाओमी: शियाओमी 
ऑरिजिनल: ऑरिजिनल
रेडएमी: रेडएमी 
ऑनलाइऩ: ऑनलाइऩ
हकदार: हकदार
चैंटिंग: चैंटिंग
इंट्रेस्टिंग: इंट्रेस्टिंग
मार्क्स: मार्क्स
मैनुएल्स: मैनुएल्स
जानकाती: जानकाती 
अक: अक
इंफॉर्मेटिक्स: इंफॉर्मेटिक्स
वर्षों: वर्षों 
अराउंड: अराउंड
वैदर: वैदर
विशाल: विशाल
एरिक: एरिक
अलेक्जेंडर: अलेक्जेंडर
चालकों: चालक 
कंप्यूटेक्स: कंप्यूटेक्स
सेट्स: सेट्स
धातुओं: धात 
उपोयग: उपोयग
इनटेल: इनटेल
डिलक्स: डिलक्स
गुंजाइश: गुंजाइश
बचती: बचती 
सिवाए: सिव 
सर्वोत्तम: सर्वोत्तम
ख़ास: ख़ास
घुसे: घुसा 
उतरता: उतरता 
सलीके: सलीका 
इशका: इशका 
धातु: धात 
प्योर: प्योर
अलाव: अलाव
आहिस्ता: आहिस्ता 
पलटें: पलट 
कहूंगा: कहूंगा 
अलहदा: अलहदा 
बोर्डर: बोर्डर
प्रतियोगी: प्रतियोगी 
इधऱ: इधऱ
उधर: उधर
रूपया: रूपया 
लगना: लगना 
लुभाएगा: लुभाएगा 
ओआईएस: ओआईएस
ईआईएस: ईआईएस
टूथ: टूथ
निचले: निचला 
फेरें: फेर 
गुलाबी: गुलाबी 
एनटीएससी: एनटीएससी 
ट्रांसमिटिंग: ट्रांसमिटिंग
ईमेज: ईमेज
खिल: खिल
दोहराई: दोहर 
झेन: झेन
लचीलापन: लचीलापन
फूला: फूला 
लाद: लाद
एप्प: एप्प
यूसेज: यूसेज
कंडीशन: कंडीशन
परफॉरमेंस: परफॉरमेंस
बिछा: बिछा 
लड़खड़ाए: लड़खड़ 
ज़रूर: ज़रूर
अटकने: अटकना 
फीलिंग: फीलिंग
एप्पस: एप्पस
डेड: डेड
ट्रिगर: ट्रिगर
एस्फॉल्ट: एस्फॉल्ट
एक्सट्रीम: एक्सट्रीम
गीयर: गीयर
क्लब: क्लब
वारहैमर: वारहैमर
लगानी: लगानी 
कॉलर: कॉलर
कागज: कागज
कनफिगरेशन: कनफिगरेशन
लाजवाब: लाजवाब
रीयर: रीयर
एसिस्ट: एसिस्ट
लैसे: लैसा 
सूरज: सूरज
डिम: डिम
हमलोग: हमलोग
हैंगाउट: हैंगाउट
व्हाट्स: व्हाट्स
स्लैक: स्लैक
नौबत: नौबत
खूबियों: खूबी 
मक्खन: मक्खन
पल्सर: पल्सर
एनएस: एनएस
मर्केट: मर्केट
बीएसआईवी: बीएसआईवी 
नेकेड: नेकेड
दिकक्त: दिकक्त
डीलर: डीलर
प्लानिंग: प्लानिंग
डिस्पेस्मेंट: डिस्पेस्मेंट
सीसी: सीसी 
टैंक: टैंक 
लिटर: लिटर
स्ट्रोक: स्ट्रोक
एसओएचसी: एसओएचसी 
वाल्व: वाल्व
कूल्ड: कूल्ड
[/caption]: [/caption]
महिने: महिना 
बिकते: बिकता 
जेडसी: जेडसी 
केएल: केएल
पोर्टल्स: पोर्टल्स
विशेषताओं: विशेषत विशेष 
दमन: दमन
संयंत्र: संयंत्र
अमेजननाऊ: अमेजननाऊ
सब्जियां: सब्जी 
हाइपरसिटी: हाइपरसिटी 
पूर्वनिर्धारित: पूर्वनिर्धारित
सौरभ: सौरभ 
चयन: चयन
निर्धारण: निर्धारण
हटाए: हट 
पारित: पारित
'आइरिश: 'आइरिश
अत्म: अत्म
डेमोक्रेट्स: डेमोक्रेट्स
ऑपरमैन: ऑपरमैन
"फेसबुक: "फेसबुक
कार्यवाही: कार्यवाही 
गठबंधन: गठबंधन 
पार्टियों: पार्टियों 
बिठाने: बिठाना 
अथक: अथक
चांसलर: चांसलर
एजेंला: एजेंला 
मर्केल: मर्केल
क्रिस्टियन: क्रिस्टियन
डेमोक्रेटिक: डेमोक्रेटिक
यूनियन: यूनियन
सीडीयू: सीडीय 
सावधानियां: सावधानी 
फिरते: फिरता 
ब्रांच: ब्रांच
एनईएफटी: एनईएफटी 
आरटीजीएस: आरटीजीएस
आईएमपीएस: आईएमपीएस
बैंकिग: बैंकिग
सब्जी: सब्जी 
विडियोकॉन: विडियोकॉन
एसओएस: एसओएस
जेस्चर: जेस्चर
कास्ट: कास्ट
नडर: नडर
फास्टर: फास्टर
एक्सपोर्ट: एक्सपोर्ट
जाउबा: जाउबा 
कैलीफोर्निया: कैलीफोर्निया 
माइशेक: माइशेक
भूकंपों: भूकंप 
विश्वव्यापी: विश्वव्यापी 
शोधार्थियों: शोधार्थी 
पहुंचाना: पहुंचाना 
कंपन: कंपन
प्रकृति: प्रकृत 
बर्कले: बर्कला 
सिस्मोलॉजिकल: सिस्मोलॉजिकल
लैबोरेटरी: लैबोरेटरी 
जीवनचर्या: जीवनचर्या 
मैक्स': मैक्स'
स्‍टैंडबाय: स्‍टैंडबाय
रिवर्स: रिवर्स
डिपेंड: डिपेंड
ऐप्लीकेशन: ऐप्लीकेशन
सबसी: सबसी 
फाइस: फाइस
लसेव: लसेव
मामलों': मामलों'
सन्नीवेल: सन्नीवेल
फोर्गड: फोर्गड
कुकीज: कुकीज
घुसपैठिया: घुसपैठिया 
बॉब: बॉब
लॉर्ड: लॉर्ड
टेलिफोन: टेलिफोन
'हमें: 'हमें 
अनाधिकृत: अनाधिकृत
जबरजस्त: जबरजस्त
जोपो: जोप 
शॉपक्लूज: शॉपक्लूज
प्रोसेसमिंग: प्रोसेसमिंग
ट्रांजिशन: ट्रांजिशन
होल्डिंग्स: होल्डिंग्स
"हमारे: "हमारा 
गुणवत्तापूर्ण: गुणवत्तापूर्ण
अप्रत्याशित: अप्रत्याशित
नुस्ली: नुस्ली 
वाडिया: वाडिया 
बुलाई: बुल 
सभा: सभा 
संसाधनों: संसाधन 
शेयरधारकों: शेयरधारक 
डूब: डूब
'भविष्य: 'भविष्य
'नैनो: 'नैन 
बिकी: बिकी 
सालोंसाल: सालोंसाल
'नैनों: 'नैन 
नैनों: नैन 
गैरसूचीबद्ध: गैरसूचीबद्ध
क्रास: क्रास
होल्डिंग: होल्डिंग
लदी: लदी 
अप्रत्यक्ष: अप्रत्यक्ष
वोटिंग: वोटिंग
चारकॉल: चारकॉल
आउटलेट्स: आउटलेट्स
ट्रिपल: ट्रिपल
कपड़ों: कपड़ 
होल्ड्स: होल्ड्स
बैंक्स: बैंक्स
विन: विन
मौक़ा: मौक़ा 
विजेताओं: विजेत विजे 
परिसर: परिसर
बिलास: बिलास
बुनियादी: बुनियादी 
विद्यार्थियों: विद्यार्थी 
शिक्षकों: शिक्षक 
निर्देशों: निर्देश 
प्रधानाचार्यों: प्रधानाचार्य 
एलियन: एलियन
उत्सुकता: उत्सुकता 
खड़ी: खड़ी 
आकृतियों: आकृती 
टावरों: टावर 
अति: अत 
बुद्धिमान: बुद्धिमान
प्राणियों: प्राणी 
उड़न: उड़न
तश्तरी: तश्तरी 
मुंडोडेसकोनोसिडो: मुंडोडेसकोनोसिड 
मार्स: मार्स
सर्वेयर: सर्वेयर
ओडिसी: ओडिसी 
मिशनों: मिशन 
धुंधली: धुंधली 
आकृतियां: आकृती 
'के': 'के'
'लेनोवो: 'लेनोव 
नोट': नोट'
सुधीन: सुधीन
माथुर: माथुर
इमर्सिव: इमर्सिव
एग्रीगेटर: एग्रीगेटर
राइड्स: राइड्स
माइल: माइल
मौसम: मौसम 
यस: यस
एग्रिगेटर: एग्रिगेटर
रजत: रजत
रघुवेश: रघुवेश
सरूप: सरूप
मची: मची 
सामिल: सामिल
हुअ: हुअ
एयरसेल: एयरसेल
वासुदेव: वासुदेव
एफआरसी: एफआरसी 
यूं: यूं
सबब: सबब
एबीवीपी: एबीवीपी 
एमपीजुंक: एमपीजुंक
बीडीजुंकी: बीडीजुंकी 
फ्रॉग: फ्रॉग
फरमान: फरमान
हटाइए: हट 
कमबैक: कमबैक
क्यूवीजीए: क्यूवीजीए
सपोर्टेबल: सपोर्टेबल
वीजीए: वीजीए
स्टैंड: स्टैंड
अनब्लॉक: अनब्लॉक
जाएंग: जाएंग
रिस्टार्ट: रिस्टार्ट
जोर: जोर
एप्लिकेशंस: एप्लिकेशंस
एसवाई: एसव 
चौधरी: चौधरी 
'आपको: 'आपक 
छापा: छापा 
लौटने: लौटना 
अफ्रीका: अफ्रीका 
मोबिलिटी: मोबिलिटी 
'मोटो: 'मोट 
सिटीबैंक: सिटीबैंक
लवर्स: लवर्स
इनफोकॉम: इनफोकॉम
रियालिटी: रियालिटी 
पोकेमॉन: पोकेमॉन
नियानटिक: नियानटिक
'पोकेमोन: 'पोकेमोन
'पोकस्टॉप्स': 'पोकस्टॉप्स'
'जिम्स': 'जिम्स'
हनके: हनका 
पोकेमोन: पोकेमोन
जियोचैट: जियोचैट
खिलाड़ियों: खिलाड़ी 
आयोजनों: आयोजन 
ओमन: ओमन
मानो: मान 
जिओनी: जिओनी 
वेइबो: वेइब 
स्पेसिफिकेसन: स्पेसिफिकेसन
फास्टेस्ट: फास्टेस्ट
कनवर्ट: कनवर्ट
ईवाई: ईव 
सामरिक: सामरिक
उपाय': उपाय'
साइबरस्पेस: साइबरस्पेस
पनपने: पनपना 
मानदंड: मानदंड
उल्लेख: उल्लेख 
तालिका: तालिका 
'ऑनलाइन: 'ऑनलाइन
क्रेडिट/डेबिट: क्रेडिट/डेबिट
स्कूटर: स्कूटर
निनेबोट: निनेबोट
बैलेंसिंग: बैलेंसिंग
एयरक्राफ्ट: एयरक्राफ्ट
एल्यूमिनियम: एल्यूमिनियम
वाट: वाट
फोल्डिंग: फोल्डिंग
सेकंड्स: सेकंड्स
फोल्ड: फोल्ड
केएमपीएच: केएमपीएच
ईवी: ईवी 
लिथियम: लिथियम
आयन: आयन
ब्रकिंग: ब्रकिंग
सीडीएमए: सीडीएमए
इंटेलिजेंट: इंटेलिजेंट
क्रॉप: क्रॉप
'ऑन: 'ऑन
दिस: दिस
'इयर: 'इयर
रिव्यू': रिव्यू'
घिरने: घिरना 
किरकिरी: किरकिरी 
करीबियों: करीबी 
@Sarah: @Sarah
रिपोस्ट: रिपोस्ट
कबूल: कबूल
मृत: मृत
जोमाटो: जोमाट 
स्वीगी: स्वीगी 
पेशक: पेशक
श: श
वालेट: वालेट
उपयोगिता: उपयोगिता 
"उपभोक्ताओं: "उपभोक्त "उपभोक् 
टॉल: टॉल
स्थानांतरण: स्थानांतरण
प्राप्तकर्ता: प्राप्तकर्ता 
बहुराष्ट्रीय: बहुराष्ट्रीय
जेड: जेड
रिवोल्यूशनरी: रिवोल्यूशनरी 
एआरसी: एआरसी 
न्यूबा: न्यूबा 
बीजेल: बीजेल
इंटरेक्टिव: इंटरेक्टिव
एफआईटी: एफआईटी 
हैंडहेल्ड: हैंडहेल्ड
क्वीक: क्वीक
नियोपावर: नियोपावर
सीम: सीम
बढोतरी: बढोतरी 
मनपसंद: मनपसंद
टिकटिंग: टिकटिंग
'बुक: 'बुक
तेलूगु: तेलूग 
त्रिपाठी: त्रिपाठी 
"बुक: "बुक
निरंतर: निरंतर
बॉट: बॉट
बुद्धिमता: बुद्धिमता 
क्विकली: क्विकली 
'एक्शन्स': 'एक्शन्स'
बिल्डर्स: बिल्डर्स
बीरूड: बीरूड
शेठ: शेठ
"बॉट: "बॉट
परिदृश्य: परिदृश्य
असिस्टंट: असिस्टंट
'एक्शंस': 'एक्शंस'
वेंचरबीट: वेंचरबीट
चैटबॉट: चैटबॉट
'ओके: 'ओका 
लेट: लेट
वेंचरबीट': वेंचरबीट'
गार्टनर: गार्टनर
आईओटी: आईओटी 
हैंडलर: हैंडलर
लीजन: लीजन
शर्मनाक: शर्मनाक
ट्वीट्स: ट्वीट्स
"मेरा: "मेरा 
अनदेखी: अनदेखी 
"लीजन: "लीजन
गिरोह: गिरोह
मजाक: मजाक
स्वयंघोषित: स्वयंघोषित
"हेलो: "हेल 
मिस्टर: मिस्टर
जनता: जनता 
आग्रह: आग्रह 
"जो: "ज 
ग्रुपएटएसआईजाइंटडॉटओआरजीडॉट: ग्रुपएटएसआईजाइंटडॉटओआरजीडॉट
जालसाज: जालसाज
सप्ताहों: सप्ताह 
बेनकाब: बेनकाब
फोने: फोना 
एमटीके: एमटीका 
डिजायर: डिजायर
लोलीपॉप: लोलीपॉप
व्हाट्सअप: व्हाट्सअप
सार्थक: सार्थक
व्हाट्सग्रुप: व्हाट्सग्रुप
सशक्तिकरण: सशक्तिकरण
अभिन्न: अभिन्न
अंग: अंग
बखूबी: बखूबी 
इधर: इधर
टास्किंग: टास्किंग
मैसेजेज: मैसेजेज
लैंकस्कैप: लैंकस्कैप
जज्बात: जज्बात
स्टीकर्स: स्टीकर्स
चिपका: चिपका 
इंट्रीगेशन: इंट्रीगेशन
रेफर: रेफर
जोड़ना: जोड़ना 
व्यक्तिग: व्यक्तिग
लिखते: लिखता 
नोटीफिकेशन: नोटीफिकेशन
'एक्सप्लोर': 'एक्सप्लोर'
अछूते: अछूता 
च: च
जरदस्त: जरदस्त
खींचने: खींचना 
अल्काटेल: अल्काटेल
'आइडल: 'आइडल
'बूम: 'बूम
की': की' 
बजाया: बजाया 
प्रवीण: प्रवीण
वालेचा: वालेचा 
हरकुछ: हरकुछ
बूमीफाई: बूमीफ 
आशावान: आशावान
"दूसरे: "दूसरा 
पुरी: पुरी 
कैलोरी: कैलोरी 
स्नेपडील: स्नेपडील
डुड़ी: डुड़ी 
जीनकारियां: जीनकारी 
पेडोमीटर: पेडोमीटर
डूबे: डूबा 
ख़राब: ख़राब
बेकअप: बेकअप
एक्सनोस: एक्सनोस
लैसहै: लैसहै
रिमूवेबल: रिमूवेबल
रिज़र्व: रिज़र्व
फिक्सड: फिक्सड
कनेक्टिविटा: कनेक्टिविटा 
विनिर्माता: विनिर्माता 
शोरुम: शोरुम
सिलिंडर: सिलिंडर
Nm: Nm
kmph: kmph
Image: Image
BMW[/caption]: BMW[/caption]
कार्यवाहक: कार्यवाहक
फ्रैंक: फ्रैंक
स्क्लोडर: स्क्लोडर
गतिशीलता: गतिशीलता 
मिश्रण: मिश्रण
टेलीस्कोप: टेलीस्कोप
विज्ञानी: विज्ञानी 
परिस्थितियां: परिस्थितियां 
तारों: तार 
अत्यधिक: अत्यधिक
प्रकाश: प्रकाश
सौर: सौर
नक्षत्र: नक्षत्र
ऑस्ट्रेलियन: ऑस्ट्रेलियन 
असोसिएट: असोसिएट
मैडेन: मैडेन
‘‘अंतरिक्ष: ‘‘अंतरिक्ष
‘‘इसके: ‘‘इसका 
बादलों: बादल 
ओजोन: ओजोन
प्रबल: प्रबल
संकेतक: संकेतक
हैरी: हैरी 
डीन: डीन
केनचिंग्टन: केनचिंग्टन
गोल्डस्मिथ: गोल्डस्मिथ
थमर्ल: थमर्ल
दमकलकर्मी: दमकलकर्मी 
धुंए: धुंए
‘‘यह: ‘‘यह
उत्सर्जित: उत्सर्जित
उष्मा: उष्मा 
गुबार: गुबार
'डबल: 'डबल
डेटा': डेटा'
दोगुने: दोगुना 
अनूठा: अनूठा 
तरफा: तरफा 
बोनांजा: बोनांजा 
सुपरनेट: सुपरनेट
शुभाजीत: शुभाजीत
सेन: सेन
‘‘वर्ष: ‘‘वर्ष
‘वॉयस: ‘वॉयस
कालिंग’: कालिंग’
ड्यो: ड्य 
मंशा: मंशा 
रिवाइव: रिवाइव
फिनिश: फिनिश
मिजू: मिज 
नीले: नीला 
बरसात: बरसात
ईटी: ईटी 
बाउंडेशन: बाउंडेशन
विनिमय: विनिमय
प्रबंधित: प्रबंधित
'रीच': 'रीच'
सुगम: सुगम
प्रतिमाह: प्रतिमाह
टीडीआर: टीडीआर
सब्सक्राईब: सब्सक्राईब
इंवेंटरी: इंवेंटरी 
सेंट्रलाईज्ड: सेंट्रलाईज्ड
इन्वेंटरी: इन्वेंटरी 
मर्चेट: मर्चेट
प्रमोशन: प्रमोशन
सेठी: सेठी 
जमीनी: जमीनी 
उठाकर: उठ उठा 
सामर्थ्य: सामर्थ्य
एज': एज'
'ग्रो: 'ग्र 
योर: योर
बिजनेस': बिजनेस'
'बिल्ड: 'बिल्ड
आईडेंटिटी': आईडेंटिटी'
'मैनेज: 'मैनेज
ऑपरेशंस': ऑपरेशंस'
श्रेणियां: श्रेणी 
'सेल्स: 'सेल्स
बूस्टर': बूस्टर'
'कैपिटल: 'कैपिटल
विंग्स': विंग्स'
'एडजोन': 'एडजोन'
नैविगेशन: नैविगेशन
नकदीरहित: नकदीरहित
मदर: मदर
डेयरी: डेयरी 
बूथों: बूथ 
‘‘देशभर: ‘‘देशभर
सब्जियों: सब्जी 
फ्रूट: फ्रूट
वेजिटेबल: वेजिटेबल
